CustomerID,FirstName,LastName,State,SignupDate,OrderID,ProductID,Quantity,Price,TotalAmount,OrderDate,ProductName,ProductCategory,
CUST00000,Bob,Johnson,NY,2022-05-28,ORD00783,PROD01352,2,435.38,870.76,2020-04-05,Widget,Electronics,
CUST00000,Bob,Johnson,NY,2022-05-28,ORD00112,PROD01602,4,473.66,1894.64,2024-12-26,Widget,Electronics,
CUST00001,,,CA,2021-05-01,ORD01595,PROD00238,2,64.37,128.74,2020-10-13,Contraption,Electronics,
CUST00001,,,CA,2021-05-01,ORD02904,PROD00477,6,209.92,1259.52,2024-11-08,Widget,Electronics,
CUST00002,Alice,,IL,2023-01-26,ORD01821,PROD00135,6,496.03,2976.18,2021-07-11,Gadget,Tools,
CUST00004,Carol,,TX,2021-02-13,ORD01491,PROD01025,6,412.01,2472.06,2021-11-21,Doohickey,Tools,
CUST00005,,,CA,2022-02-20,ORD02401,PROD01434,8,224.05,1792.4,2020-06-09,Widget,Home Appliance,
CUST00005,,,CA,2022-02-20,ORD00692,PROD00678,6,37.08,222.48,2019-09-04,Contraption,Home Appliance,
CUST00005,,,CA,2022-02-20,ORD00558,PROD00802,5,415.47,2077.35,2020-08-13,Contraption,Tools,
CUST00008,,Jones,IL,2019-01-17,ORD00093,PROD01169,5,178.84,894.2,2020-06-23,Contraption,Tools,
CUST00009,Carol,,IL,2022-01-07,ORD00284,PROD01031,1,131.45,131.45,2020-12-01,Unknown Product,Electronics,
CUST00011,Alice,Williams,CA,2020-05-17,ORD02221,PROD01040,8,33.04,264.32,2019-02-19,Doohickey,Electronics,
CUST00011,Alice,Williams,CA,2020-05-17,ORD02950,PROD01214,5,247.78,1238.9,2019-07-14,Widget,Home Appliance,
CUST00011,Alice,Williams,CA,2020-05-17,ORD00228,PROD01471,4,435.77,1743.08,2021-04-14,Thingamajig,Tools,
CUST00011,Alice,Williams,CA,2020-05-17,ORD00582,PROD00239,5,249.16,1245.8,2019-04-07,Contraption,Electronics,
CUST00011,Alice,Williams,CA,2020-05-17,ORD02498,PROD01760,1,153.67,153.67,2019-08-31,Contraption,Home Appliance,
CUST00012,,Brown,NY,2021-03-07,ORD00614,PROD00249,10,354.03,3540.3,2019-03-07,Widget,Electronics,
CUST00012,,Brown,NY,2021-03-07,ORD01435,PROD00689,8,237.75,1902,2023-07-17,Gadget,Home Appliance,
CUST00012,,Brown,NY,2021-03-07,ORD02633,PROD01299,6,196.83,1180.98,2021-12-18,Unknown Product,Electronics,
CUST00012,,Brown,NY,2021-03-07,ORD01212,PROD01106,6,413.94,2483.64,2024-03-13,Gadget,Electronics,
CUST00013,,Jones,AZ,2019-06-19,ORD00684,PROD00674,2,457.04,914.08,2019-01-16,Doohickey,Home Appliance,
CUST00015,,Smith,TX,2018-07-08,ORD00401,PROD00677,1,103.89,103.89,2022-11-28,Widget,Electronics,
CUST00016,Dave,Smith,AZ,2023-02-26,ORD00501,PROD01226,1,271.19,271.19,1900-01-01,Contraption,Electronics,
CUST00017,,Jones,TX,2019-10-10,ORD00276,PROD00634,5,267.15,1335.75,2024-03-07,Contraption,Electronics,
CUST00020,,Jones,NY,2021-01-27,ORD02312,PROD00729,6,253.04,1518.24,2023-06-05,Contraption,Electronics,
CUST00020,,Jones,NY,2021-01-27,ORD01043,PROD01523,7,406.31,2844.17,2024-04-08,Thingamajig,Tools,
CUST00020,,Jones,NY,2021-01-27,ORD01326,PROD01761,6,198.4,1190.4,2019-06-18,Thingamajig,Home Appliance,
CUST00021,John,Brown,IL,2020-10-22,ORD00529,PROD00780,6,95.18,571.08,2023-04-12,Thingamajig,Home Appliance,
CUST00022,Bob,Smith,TX,2019-11-09,ORD02049,PROD01697,4,10.23,40.92,2022-01-26,Contraption,Electronics,
CUST00022,Bob,Smith,TX,2019-11-09,ORD02580,PROD01731,9,484.44,4359.96,2024-05-28,Thingamajig,Electronics,
CUST00025,Carol,Jones,CA,2019-01-25,ORD02032,PROD00789,4,156.16,624.64,2024-02-26,Unknown Product,Home Appliance,
CUST00026,,,IL,2018-11-16,ORD01492,PROD00546,1,202.1,202.1,2024-03-09,Thingamajig,Tools,
CUST00026,,,IL,2018-11-16,ORD02078,PROD01515,1,386.12,386.12,1900-01-01,Thingamajig,Tools,
CUST00026,,,IL,2018-11-16,ORD00771,PROD01105,2,165.3,330.6,2024-04-17,Thingamajig,Home Appliance,
CUST00029,,,IL,2019-05-09,ORD02099,PROD01146,2,332.59,665.18,2024-12-29,Thingamajig,Electronics,
CUST00030,Alice,Brown,IL,2023-05-11,ORD00204,PROD00985,6,95.39,572.34,2024-01-03,Thingamajig,Home Appliance,
CUST00030,Alice,Brown,IL,2023-05-11,ORD00408,PROD01756,3,280.9,842.7,2022-09-06,Gadget,Electronics,
