CustomerID,FirstName,LastName,Email,City,State,Signupdate
CUST00254,Jane,Johnson,user254@example.com,Chicago,IL,11/11/2023
CUST01908,Carol,Jones,invalid_email,Houston,AZ,2023-01-01
CUST01259,Dave,Williams,user1259@example.com,New York,AZ,2020-06-22
CUST00436,Bob,Johnson,,,CA,2020-03-13
CUST02269,Alice,Smith,user2269@example.com,Houston,IL,2021-07-15
CUST00748,John,Brown,user748@example.com,,CA,22-06-2019
CUST02399,Alice,,user2399@example.com,Houston,TX,
CUST00032,Bob,, ,New York,CA,02/27/2019
CUST00073,Bob,,user73@example.com,Houston,TX,2018-02-16
CUST00650,Jane,Johnson,user650@example.com,Houston,IL,2018-08-24
CUST01177,Jane,,user1177@example.com,Chicago,IL,13-05-2020
CUST00170,Bob,,user170@example.com,Houston,TX,26-07-2021
CUST00070,,Johnson,user70@example.com,New York,NY,08/14/2018
CUST01159,Dave,Brown,user1159@example.com,Houston,NY,30-05-2021
CUST01393,John,,user1393@example.com,New York,AZ,04/24/2019
CUST01061,Carol,Williams,invalid_email,New York,CA,23-12-2022
CUST00567, ,Williams,user567@example.com,Phoenix,CA,02/07/2022
CUST02369,Jane,Johnson,,New York,CA,2019-04-26
CUST00544,,Smith,user544@example.com,Los Angeles,AZ,10/27/2018
CUST01047,Jane,Smith,user1047@example.com,Houston,AZ,
CUST01655,Jane,Smith,user1655@example.com,Los Angeles,CA,2018-10-27
CUST01199,Bob,Johnson,invalid_email,Phoenix,NY,03/06/2021
CUST00173,Dave,,user173@example.com,,NY,10-07-2023
CUST00044,Carol,Williams,invalid_email,Houston,TX,2018-12-12
CUST02162,Dave,Brown,invalid_email, ,IL,06/07/2022
CUST00765,,,user765@example.com,New York,IL,14-08-2022
CUST00408,Dave,Johnson,user408@example.com,New York,CA,01/26/2019
CUST02437,Carol,Williams,,Phoenix,IL,04-12-2023
CUST01874,John,,invalid_email,,TX,06/08/2022
CUST02480,Bob,Williams,user2480@example.com,New York,NY,10-10-2020
CUST01195,John,Smith,,Chicago,NY,2018-02-04
CUST01550,Jane,Smith,user1550@example.com,New York,TX,2023-06-24
CUST02450,,Williams,user2450@example.com,Phoenix,TX,2019-03-15
CUST01379,John,Smith,invalid_email,Los Angeles,IL,06/18/2018
CUST02025,,Jones,,Phoenix,AZ,23-10-2021
CUST01355,Jane,Smith,user1355@example.com,Los Angeles,NY,2018-09-26
CUST01170,Carol,Johnson,user1170@example.com,Houston,AZ,01/04/2023
CUST01784,Dave,Johnson,user1784@example.com,New York,CA,06/16/2023
CUST00188,Alice,Smith,user188@example.com,Phoenix,CA,12/20/2019
CUST00611,Alice,Brown,user611@example.com,Chicago,TX,
CUST00801,Carol,Smith,user801@example.com,Houston,TX,2019-04-08
CUST00298,Dave,Smith,invalid_email,Houston,AZ,05-06-2021
CUST02241,John,Jones,user2241@example.com,Houston,CA,24-12-2023
CUST00932,John, ,user932@example.com,Los Angeles,TX,12/09/2023
CUST00741,Bob,Jones,,Chicago,NY,2019-02-26
CUST01204,Carol,Brown,user1204@example.com,New York,AZ,06/17/2019
CUST02489,Jane,Smith,invalid_email,,IL,2020-08-05
CUST00565,Alice,Brown,user565@example.com,Phoenix,IL,2020-05-21
CUST02145,Alice,Johnson,,,IL,2021-01-24
CUST01260,,Smith,,Los Angeles,NY,10/12/2022
CUST01721,,Smith,invalid_email,Houston,IL,15-07-2018
CUST01338,Alice,Johnson,user1338@example.com,Houston,TX,
CUST00819,Jane,,user819@example.com, ,AZ,11/25/2021
CUST01747,,Smith,invalid_email,Chicago,NY,18-08-2019
CUST00518,Bob,,,Houston,IL,
CUST00670, ,Jones,user670@example.com,Houston,CA,25-03-2022
CUST00856,Bob,Jones,user856@example.com,Phoenix,AZ,14-10-2021
CUST01247,Alice,, ,New York,CA,
CUST00903,Bob, ,,New York,IL,10/01/2022
CUST02034, ,,user2034@example.com,Los Angeles,IL,2018-09-25
CUST01025,Dave,Smith,user1025@example.com, ,TX,2023-12-07
CUST02470,John,Williams,user2470@example.com,Los Angeles,IL,2019-03-18
CUST01600,John,Johnson,user1600@example.com,Chicago,NY,04/08/2019
CUST00056,Jane,Brown,user56@example.com,Los Angeles,CA,09/20/2022
CUST00289,Bob,Smith,,Los Angeles,TX,01/06/2019
CUST00705,,Jones,user705@example.com, ,IL,11/06/2021
CUST02124,Carol,Smith,user2124@example.com,Los Angeles,CA,2020-09-08
CUST01278,Bob,Smith,user1278@example.com,Chicago,NY,16-12-2019
CUST01490,Jane,Jones,user1490@example.com,Los Angeles,TX,2018-06-16
CUST00282,Carol,Jones,,Phoenix,CA,17-03-2023
CUST00478, ,Jones,user478@example.com,Chicago,AZ,15-02-2022
CUST01557,Jane,Williams,user1557@example.com,New York,CA,12-01-2019
CUST00368,John,Brown,,Los Angeles,AZ,07/16/2019
CUST00124,Alice,Smith,invalid_email,Chicago,TX,2022-01-07
CUST00781,Dave,Williams,user781@example.com,Chicago,CA,
CUST00602,Bob,Johnson,user602@example.com,Los Angeles,TX,18-03-2018
CUST00196,Jane,,user196@example.com,Phoenix,CA,2021-08-01
CUST01803,,Smith,user1803@example.com,Phoenix,NY,12/10/2023
CUST01359,Bob,Williams,user1359@example.com,Houston,NY,2021-02-04
CUST01064,Jane,Brown,,Phoenix,IL,04-06-2023
CUST00480,Jane,Brown,user480@example.com,Chicago,CA,04/19/2021
CUST01137,John,Johnson,user1137@example.com,Chicago,TX,
CUST00651,Jane,,invalid_email,Phoenix,CA,2022-12-04
CUST00941,Dave,Brown,user941@example.com,Los Angeles,NY,15-04-2022
CUST02137,, ,user2137@example.com,Houston,AZ,03/17/2023
CUST00194,John,Williams,user194@example.com, ,CA,2023-07-26
CUST01608,Dave,Williams,invalid_email,,TX,20-06-2021
CUST00178,Dave,Jones,user178@example.com,Houston,AZ,2020-04-05
CUST01578,Jane,Williams,user1578@example.com, ,IL,2019-09-07
CUST02398,Jane,Williams, ,Chicago,TX,11/12/2022
CUST00175,Jane,Jones,user175@example.com,Houston,IL,
CUST01268,Jane,Johnson,user1268@example.com,Phoenix,AZ,
CUST00507,Carol,Williams,user507@example.com,Houston,CA,
CUST00719,John,Johnson,user719@example.com,,IL,06/01/2020
CUST00433,Carol,Williams,user433@example.com,Phoenix,AZ,2019-03-12
CUST02411, ,Brown,user2411@example.com,,TX,2019-02-10
CUST01173,Alice,,user1173@example.com,,AZ,2021-11-05
CUST02202,John,Jones,user2202@example.com,New York,IL,12-10-2022
CUST01917,Carol,Brown,user1917@example.com,Phoenix,IL,04/07/2022
CUST01948,Bob,Johnson,,New York,CA,2020-05-06
CUST01094,Carol,,invalid_email,Phoenix,AZ,2020-07-05
CUST00043,Alice,,user43@example.com,,AZ,2019-07-27
